Ano;Mês;Tipo Operação;Código Abreviado Produto;Nome SKU;volume;caixas;unidades;faturamento;cobertura
2023;5;"REVENDA";9085;"GUARANA CHP ANTARCTICA DIET LATA 350ML SH C/12 NPAL";867,4;20652;247828;500717,61;5850
2023;5;"REVENDA";1164;"SUKITA UVA LATA 350ML SH C/12 NPAL";332,81;7924;95088;191058,31;3691
2023;5;"REVENDA";9093;"PEPSI TWIST LATA 350ML SH C/12 NPAL";132,43;3153;37836;75449,8;1462
2023;5;"REVENDA";9092;"TONICA ANTARCTICA DIET LATA 350ML SH C/12 NPAL";841,23;20029;240352;601078,55;5674
2023;5;"REVENDA";10389;"BARE GUARANA LATA 350ML CAIXA C/12 NPAL";129,65;3087;37044;74564,36;788
2023;5;"REVENDA";9091;"TONICA ANTARCTICA LATA 350ML SH C/12 NPAL";2688,55;64013;768157;1909968,1;18454
2023;5;"CDD";9091;"TONICA ANTARCTICA LATA 350ML SH C/12 NPAL";777,88;18521;222252;553260,58;4727
2023;5;"REVENDA";9096;"PEPSI COLA LATA 350ML SH C/12 NPAL";1875,73;44660;535922;1071028,68;11628
2023;5;"REVENDA";9274;"PEPSI ZERO LATA 350ML SH C/12 NPAL";1443,58;34371;412451;830379,28;11939
2023;5;"CDD";9274;"PEPSI ZERO LATA 350ML SH C/12 NPAL";556,08;13240;158880;304235,53;2838
2023;5;"REVENDA";9084;"GUARANA CHP ANTARCTICA LATA 350ML SH C/12 NPAL";5347,95;127332;1527986;3180818,19;23514
2023;5;"CDD";9084;"GUARANA CHP ANTARCTICA LATA 350ML SH C/12 NPAL";1854,05;44144;529728;1069325,19;5207
2023;5;"REVENDA";2349;"GUARANA CHP ANTARCTICA PET 2L CAIXA C/6";36030,52;300254;1801526;10855622,58;37924
