marca;descrição;nome_sku;link_foto;x;y;endereço
Antarctica Pilsen;WA - Esquerda;Caixa de Transporte Garrafa Vidro 12 x 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/0bb1f3e048b5803193e91eaf331b561e.png;880;12;data\img\AntarcticaPilsen_CaixadeTransporteGarrafaVidro12x300ml.png
Bohemia Aura Lager;Suada - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/56051e3af77851e9876516ef2f79b46d.png;1180;12;data\img\BohemiaAuraLager_GarrafaVidro300ml.png
Goose Island Sofie;Com espuma;Acessório Pint 400ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c1455f878fe1166755d1b098395988d2.png;2275;12;data\img\GooseIslandSofie_AcessorioPint400ml.png
Leffe Brown;Com espuma;Acessório Cálice 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/70da55382a993b1ca18c51dea5f2c1ef.png;2565;12;data\img\LeffeBrown_AcessorioCalice330ml.png
Pepsi Black Sem Açúcares;Multipack - Frontal;Cinta Pet 2 x 2L;https://www.catalogoambev.com.br/images/uploads/artes-finais/c83456cd3cfc9025eff4813205b6aae4.png;3150;12;data\img\PepsiBlackSemAcucares_CintaPet2x2L.png
Ama Sem Gás;Regular - Frontal;Lata Sleek 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/fd61a589d374eba437554c6d9286c2ef.png;3590;12;data\img\AmaSemGas_LataSleek350ml.png
Skol Pilsen;Multipack MEAD - Esquerda;Pack Cartão Lata Std 6 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f4053d76fe6691dcd234f9875e4641da.png;110;13;data\img\SkolPilsen_PackCartaoLataStd6x350ml.png
Skol Puro Malte;Suada - Frontal;Lata Std 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/35ab9f5844f0950d47dee64bfe5820bb.png;165;13;data\img\SkolPuroMalte_LataStd473ml.png
Brahma Duplo Malte;Regular - Direita;Shrink Lata Sleek 15 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/89d789a8ce2523c3d79effda2bc4d93e.png;590;13;data\img\BrahmaDuploMalte_ShrinkLataSleek15x269ml.png
Budweiser;Nova Arte IN65;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/9c4df18d295873031e3b210b97183cea.png;1300;13;data\img\Budweiser_GarrafaVidro600ml.png
Wäls Bohemian Pilsner;Regular - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3668146746e03b2ee5ebfaa8d02184dd.png;1730;13;data\img\WälsBohemianPilsner_GarrafaVidro300ml.png
Guaraná Antarctica Sem Açúcares;Suada - Frontal;Garrafa Pet 2L;https://www.catalogoambev.com.br/images/uploads/artes-finais/9c2377d0089296509269f736fb49c1b4.png;2980;13;data\img\GuaranaAntarcticaSemAcucares_GarrafaPet2L.png
Beats CaipiBeats;Mead - Esquerda;Pack Cartão Lata Sleek 8 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/0e5365dd39a67c75b686ba2e4f67c080.png;340;14;data\img\BeatsCaipiBeats_PackCartaoLataSleek8x269ml.png
Mike's Hard Lemonade Pitaia;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/0eb45cd61b79c535a2592fef31273b85.png;430;14;data\img\MikesHardLemonadePitaia_LataSleek269ml.png
Brahma Duplo Malte;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7e9f7f739e5aec5700a38ca179ccf2f1.png;655;14;data\img\BrahmaDuploMalte_PackCartaoGarrafaVidro6x330ml.png
Brahma Zero;Regular - Direita;Shrink Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f2415e2dfc9baee341f117efb5811c28.png;685;14;data\img\BrahmaZero_ShrinkLataStd12x350ml.png
Três Fidalgas;Regular - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/bc6986c4a16420c6afcc9fcca93d212f.png;1675;15;data\img\TresFidalgas_GarrafaVidro600ml.png
Michelob Ultra;Suada - Frontal;Lata Sleek 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/22fd528047a3ad549625199f303d763e.png;2465;15;data\img\MichelobUltra_LataSleek350ml.png
